"","Robos_vivienda","Robos_personas","distancia_estacion_policia"
"4728",156,1609,875.345559353999
"4729",156,1609,677.259349004471
"4730",156,1609,774.871282142619
"4731",53,926,445.455158496888
"4732",156,1609,162.242501430472
"4733",156,1609,1657.0322399309
"4734",105,1440,731.64600862912
"4735",233,2337,188.370784536514
"4736",88,1055,628.159751021022
"4737",156,1609,744.667982741922
"4738",156,1609,1100.33134391845
"4739",156,1609,1019.56481996768
"4740",156,1609,141.132607524416
"4741",156,1609,503.876912741653
"4742",156,1609,344.568218331416
"4743",156,1609,1068.77694438976
"4744",156,1609,131.105656588734
"4745",156,1609,1241.99252092135
"4746",156,1609,713.854172814946
"4747",156,1609,965.466711423553
"4748",156,1609,503.876912741653
"4749",156,1609,835.170434265803
"4750",273,2652,619.571249381704
"4751",156,1609,1455.07714993638
"4752",156,1609,632.950854985836
"4753",156,1609,1070.35231282583
"4754",156,1609,447.039533052991
"4755",156,1609,1019.56481996768
"4756",156,1609,503.876912741653
"4757",233,2337,489.686668884682
"4758",233,2337,1527.18112759454
"4759",156,1609,262.355151813205
"4760",156,1609,502.484488069004
"4761",233,2337,628.954124771587
"4762",156,1609,938.742912902711
"4763",156,1609,1057.61735425452
"4764",156,1609,1270.78548399195
"4765",156,1609,234.036279298183
"4766",156,1609,1186.70156838145
"4767",156,1609,1003.04250397692
"4768",156,1609,59.4499932859558
"4769",156,1609,1283.57917556315
"4770",156,1609,373.034069785774
"4771",156,1609,954.442496463711
"4772",156,1609,1227.82162695085
"4773",156,1609,767.138430693236
"4774",233,2337,531.691335541123
"4775",156,1609,1218.56019645758
"4776",156,1609,825.442278050238
"4777",156,1609,588.266900859907
"4778",156,1609,1313.35753693629
"4779",105,1440,214.625094218797
"4780",156,1609,514.862277491202
"4781",156,1609,1045.28800223425
"4782",156,1609,1294.62984153368
"4783",156,1609,1345.74386394639
"4784",101,1202,612.584185709579
"4785",156,1609,1095.16330059265
"4786",156,1609,434.594686513298
"4787",156,1609,1390.53780573508
"4788",156,1609,252.582259019323
"4789",156,1609,175.811689893252
"4790",156,1609,434.594686513298
"4791",156,1609,1032.33652418627
"4792",156,1609,677.379821764663
"4793",88,1055,446.176628286734
"4794",156,1609,1530.26956517758
"4795",101,1202,672.364893707265
"4796",57,985,431.63360136737
"4797",57,985,441.18821860669
"4798",88,1055,1050.52473217274
"4799",156,1609,1052.10095196737
"4800",156,1609,1052.10095196737
"4801",156,1609,561.861219020357
"4802",156,1609,838.503858763808
"4803",156,1609,642.236461155205
"4804",156,1609,518.28108129133
"4805",156,1609,731.902022966899
"4806",156,1609,631.033665872566
"4807",156,1609,1031.29732860882
"4808",156,1609,935.172289808575
"4809",156,1609,384.950561977215
"4810",156,1609,1259.08145781144
"4811",156,1609,1203.990748793
"4812",156,1609,894.363438709114
"4813",156,1609,1427.90772366792
"4814",156,1609,359.107500798519
"4815",156,1609,1019.61641064189
"4816",156,1609,292.907370427801
"4817",156,1609,1032.81560440018
"4818",156,1609,867.558312734298
"4819",156,1609,915.954447820721
"4820",156,1609,772.818136219736
"4821",156,1609,938.632977827806
"4822",156,1609,1123.71070370826
"4823",156,1609,947.532053747103
"4824",156,1609,978.008970236754
"4825",156,1609,790.039557273266
"4826",156,1609,290.312393600506
"4827",156,1609,768.165143100536
"4828",156,1609,1099.23133936684
"4829",21,1094,306.877722942537
"4830",156,1609,1319.4004018069
"4831",156,1609,651.404446172902
"4832",156,1609,180.401613348714
"4833",233,2337,748.504169451621
"4834",156,1609,1099.61076164333
"4835",233,2337,743.502262409516
"4836",156,1609,867.441470962464
"4837",156,1609,1346.81717383089
"4838",156,1609,1049.47758832076
"4839",233,2337,1599.93182441827
"4840",156,1609,521.044135302965
"4841",156,1609,1000.72267425722
"4842",21,1094,194.731492844603
"4843",233,2337,625.6594227284
"4844",156,1609,441.538508318625
"4845",156,1609,841.510656706349
"4846",105,1440,617.82571544392
"4847",156,1609,438.299027443518
"4848",156,1609,1007.07372519301
"4849",156,1609,1119.26258844063
"4850",156,1609,677.259349004471
"4851",239,2612,418.516463069675
"4852",156,1609,224.757468799377
"4853",156,1609,792.64996395011
"4854",156,1609,468.783271739685
"4855",156,1609,1037.59518269987
"4856",233,2337,1058.92398288202
"4857",156,1609,958.352466819554
"4858",156,1609,412.02728342228
"4859",156,1609,432.393279793555
"4860",156,1609,888.238144876725
"4861",156,1609,658.901919367409
"4862",105,1440,565.246183981057
"4863",156,1609,1201.10610705185
"4864",156,1609,971.718472738773
"4865",105,1440,362.80301374905
"4866",156,1609,532.20637314251
"4867",156,1609,1077.99953541331
"4868",156,1609,971.718472738773
"4869",156,1609,304.778053299788
"4870",156,1609,789.387413891396
"4871",156,1609,708.955681889329
"4872",156,1609,145.330559765842
"4873",53,926,287.63673517904
"4874",88,1055,658.605866020315
"4875",156,1609,1661.617870782
"4876",156,1609,360.622833644527
"4877",273,2652,738.150213581995
"4878",239,2612,587.330485880733
"4879",156,1609,1220.71877210036
"4880",88,1055,93.5676819692873
"4881",105,1440,1104.62701627421
"4882",156,1609,963.194803003445
"4883",101,1202,846.804143325574
"4884",156,1609,687.475616522128
"4885",233,2337,725.447858666134
"4886",156,1609,1000.72267425722
"4887",156,1609,626.423535033124
"4888",239,2612,663.238064448492
"4889",156,1609,588.266900859907
"4890",156,1609,799.085743857043
"4891",156,1609,623.43351589862
"4892",105,1440,536.438549059044
"4893",53,926,124.525942238268
"4894",273,2652,621.55071364232
"4895",105,1440,827.395170101973
"4896",273,2652,614.647118738423
"4897",156,1609,931.312325511418
"4898",156,1609,1250.06729082517
"4899",273,2652,465.344984435209
"4900",273,2652,419.254120738529
"4901",273,2652,621.55071364232
"4902",273,2652,614.647118738423
"4903",273,2652,412.284185432705
"4904",273,2652,422.511331702168
"4905",101,1202,130.655241935901
"4906",273,2652,614.647118738423
"4907",273,2652,412.284185432705
"4908",273,2652,514.842232790696
"4909",71,773,536.548530021792
"4910",156,1609,479.518499379603
"4911",156,1609,198.70706074279
"4912",156,1609,1117.72178268385
"4913",156,1609,1377.29366855776
"4914",156,1609,458.88888279804
"4915",156,1609,783.320846765929
"4916",156,1609,1117.72178268385
